ARROUQUELAS
CERNACHE DO BONJARDIM
VILA FRANCA DAS NAVES
VINHAIS
FAFE
FANHÕES
MIRANDA DO DOURO
PAÇO DE SOUSA
PAREDES DE COURA
SABUGAL
VIEIRA DO MINHO
ALJUSTREL
BARREIRO
ÁGUAS DE MOURA
ARRUDA VINHOS
CABECEIRAS DE BASTO
BENEDITA
ALCANEDE STR
BALTAR
BEJA
CANAS DE SENHORIM
TEIXUGUEIRA
LOUROSA
MEDA
OVAR
PAMPILHOSA
PONTE DA BARCA
RIBA DE AVE
SANTA COMBA DAO
SERPINS
VIANA DO ALENTEJO
AVES
BELMONTE
PINHEL
BARRIL DE ALVA
LOUSA
LAGEOSA DO MONDEGO
LORIGA
S PEDRO - FUNCHAL
LAGARES
ARCOZELO
BR DA BOAVISTA
ZAMBUJAL
GAEIRAS
S MANCOS
BAIRRO DAS AMENDOEIRAS
NOVELAS
MERTOLA
ATALAIA
ANJOS
VIALONGA
CAMPO
CASTANHEIRA DO RIBATEJO
CHAINCA
GUIA
SANTIAGO DE PIAES
VALADARES
S PEDRO DA COVA
OLIVEIRA DE FRADES
AVELEDA
EIXO
DORNES
S MAMEDE DE RIBATUA
MAÇAL DO CHÃO
ALMANCIL
LOUREDO
VALENÇA
LEMEDE
S M INFESTA
JOANE
ALCACER DO SAL
SANTO ANTÓNIO DOS CAVALEIROS
AMARANTE
PESO DA RÉGUA
ERMESINDE
SERNANCELHE
ABRIGADA
LAGOS
CANIÇO
SÃO JOÃO DA PESQUEIRA
TONDELA
SOBRAL
DELÃES
SELMES
SOBRAL DE MONTE AGRAÇO
FONTÃO
FRIELAS
PRIOR VELHO
CARAPEÇOS
TENÕES
BATALHA
MAÇÃS DE DONA MARIA
ARRONCHES
CASTRO LABOREIRO
ALTURA
FATIMA
PONTÉVEL
CARDIGOS
QUINTA DO ANJO
ALBERGARIA DOS DOZE
CABAÇOS MBR
VILA CHÃ DE OURIQUE
VALE DO ARCO
SILVARES
PONTE DE SOR
RABO DE PEIXE
MOSCAVIDE
TOUTOSA
FREIXO DE NUMÃO
SERRIÃO ALTO
CAMPO BENFEITO
PÊGA
PAIVAS
SEDIELOS
MEADELA
VILA BOA DO BISPO
FERMENTELOS
TRANCOSO
ASSEICEIRA TMR
MACEIRINHA
PANÓIAS DE CIMA
FAMALICÃO DA SERRA
SANTA EUGÉNIA
ALIJO
MATOS
TEIVAS
POUSAFOLES DO BISPO
ÁZERE TBU
VINHA DA RAÍNHA
FREIXO
ALVAIÁZERE
VILAR DO PARAÍSO
SÃO CRISTOVÃO DE NOGUEIRA
SANGUEDO
SANTIAGO DO ESCOURAL
MIRA DE AIRE
BEIRE
PORTELINHA - FANZERES
PÓVOA DE LANHOSO
FAZENDAS DE ALMEIRIM
PEDREIRAS
BUCELAS
MATEUS
PERAFITA
SANFINS
BICESSE
FREIXIAL DO CAMPO
CHEIRAS
VILA BOIM
ALVERCA DO RIBATEJO
SARDOAL
SANTA MARIA DE LAMAS
URQUEIRA
ADEMAS
MADEIRAS
SÃO JOÃO DAS LAMPAS
ALCOBACA
VILA NOVA DE FOZ COA
MARTINGANÇA
MELO
SESIMBRA
LOURES
CARCAVELOS
LAPA DE TOURAIS
TRINTA
AVELAS DA RIBEIRA
CAXARIAS
ALJEZUR
CALDAS DA RAINHA
ODIVELAS FAL
NOGUEIRA DA REGEDOURA
COIMBRÃO
ÓBIDOS
SALIR DO PORTO
CAMPOS - VILA NOVA DE CERVEIRA
SÃO PEDRO DO SUL
AMARES
SÃO JOSÉ
ARRAIOLOS
GRAÇA DO DIVOR
MIRA
ALGÉS
VILA BOA DO MONDEGO
ALDEIA VIÇOSA
VALVERDE AGB
FERREIRA DO ZEZERE
AZÊVO
VILA DAS AVES
ARCOZELO BCL
CUNHA
BRAGANCA
HORTA
ODEMIRA
VILA NOVA DA BARQUINHA
VIEIRA DE LEIRIA
VIDE
TERENA
S SEBASTIÃO DA GIESTEIRA
MOURÃO
SANTANA DO CAMPO
GUIMARAES
SINTRA
BURACA
CACÉM
IGREIJINHA
PEROLIVAS
ALPIARÇA
LARANJEIRO
CELEIROS
ALMARGEM DO BISPO
SÃO TEOTÓNIO
COUÇO
QUELUZ
BAIRRO DO TAZIM
SANTO ANTÃO DO TOJAL
PERO PINHEIRO
VIMEIRO
VILA CHÃ ALIJÓ
ENCARNAÇÃO
TURCIFAL
DOIS PORTOS
OUTEIRO DA CABEÇA
MATACÃES
VENTOSA TVD
PONTE DO ROL
SANTO TIRSO
A-DOS-CUNHADOS
CANELAS
LAMAS
SANTA CRUZ DA TRAPA
GRÂNDOLA
TRIGACHES
PENDILHE
CAVERNÃES
SENHORA DA HORA
S VICENTE
BALURCOS
VALE DE JANEIRO
TONDELINHA
CARAMULO
FAJARDA
PONTES
GASFANHA DO CARMO
BAIRROS
BARAÇAL
ALMEIRIM
CARAPELHOS
CRESTUMA
PAMPILHOSA DA SERRA
CINFÃES
FARMINHAO
FERREL
SÃO JOÃO DE NEGRILHOS
CAMPO RMZ
SANTO ANTONIO DE MONFORTE
CORUCHE
SOBRAL DE SÃO MIGUEL
VILA NOVA DE MILFONTES
VILA NOVA DE PAIVA
ÉVORA DE ALCOBAÇA
BOMBARRAL
SANTO ANTÓNIO DOS OLIVAIS
CANIDELO VNG
RANS
BOA VISTA
AMIAIS DE BAIXO
TRAVASSO
ARMAMAR
VEIROS
ZAMBUJEIRA DO MAR
PALHAÇA
GAULA
BEMPOSTA
REBORDÕES
SANTA BÁRBARA DE PADRÕES
CANTANHEDE
JANEIRO DE CIMA
SÃO PEDRO. PONTA DELGADA.
CUSTOIAS
MIDO
VILA NOVA DE ANHA
VILA NOVA DE OUREM
ESCAPÃES
SERZEDO VNG
S. TOME DE NEGRELOS
CASTELEIRO
PONTE DE LIMA
PAREDES
MINDE
RAIVA
PENEDO
VALE DE CAMBRA
MILHEIROS
VILA MEÃ
CARVALHO CBT
CALENDARIO
RIO DE MOURO
MONTEMOR-O-VELHO
ALGUEIRÃO
TAROUQUELA CNF
ARGANIL
ÓIS DA RIBEIRA
VERRIDE
SANTA MARIA MAIOR
FOROS DO ARRÃO
BRITEIROS SANTO ESTEVÃO
ESMORIZ
RIODADES
MIRAFLORES
BAIRRO DO ARMADOR
GALEGOS (SANTA MARIA)
CAMACHA
BARRANCOS
REGUENGOS DE MONSARAZ
MONÇÃO E TROVISCOSO
GAVIÃO
LINDA-A-PASTORA
ALCÁCER DO SAL
AMORA
CASTELO DE VIDE
SANTIAGO CACEM
TORRÃO
CELORICO DE BASTO
CALHETA
GOLEGA
CORVO
SANTA CRUZ DA GRACIOSA
LIXA
MURTOSA
NAZARÉ
POVOA DE LANHOSO
PRAIA DA VITORIA
VIDIGUEIRA
ERICEIRA
ABRANTES
CACEM
AGUIAR DA BEIRA
ALCOCHETE
ALCOENTRE
ALCOUTIM
COLARES
ALMODÔVAR
ALTER DO CHAO
ANGRA DO HEROISMO
ARRIFANA
AZAMBUJA
BAIÃO
BELAS
BRASFEMES
BUCELAS LOURES
CABANAS DE VIRIATO
CÂMARA DE LOBOS
CAMPO MAIOR
CANEÇAS
CARRAZEDA DE ANSIÃES
CARRAZEDO MONTENEGRO
CARREGAL DO SAL
CASTANHEIRA DE PÊRA
CERCAL DO ALENTEJO
CHAMUSCA
COJA
CONDEIXA-A-NOVA
EJA
ESPOSENDE
ESTREMOZ
FAMALICÃO GRD
COVA DA IRIA
FERREIRA DO ALENTEJO
FIGUEIRÓ DOS VINHOS
FREIXO DE ESPADA À CINTA
GOIS
LAGARES DA BEIRA
LAGOA
LECA DO BALIO
MAÇÃO
MACEDO DE CAVALEIROS
MACEIRA LRA
MEALHADA
MELO - GOUVEIA
MELRES - GONDOMAR
MESÃO FRIO
MOGADOURO
MONFORTE
MONTELAVAR
NISA
OLIVEIRA DO BAIRRO
ORTIGOSA
OURIQUE
PAÇO DE ARCOS
PEDROGÃO GRANDE
PENAMACOR
PENELA
PERNES
PORTO DE MÓS
POVOA DE SANTA IRIA
PROENÇA-A-NOVA
REDONDO
RIO MAIOR
SAO JOAO DA MADEIRA
SAO JOAO DA PESQUEIRA
S.MARTINHO DO PORTO
SANTA CRUZ DAS FLORES
VILA DO PORTO
STA MARTA DE PENAGUIAO
SANTANA
SÃO BARTOLOMEU DE MESSINES
SÃO ROQUE DO PICO
SEVER DO VOUGA
SINES
SOUSEL
TABUAÇO
VAGOS
VILA FRANCA DE XIRA
VILA NOVA DE CERVEIRA
VILA NOVA DE TAZEM
VILA POUCA DE AGUIAR
V. PRAIA DE ANCORA
VILA REAL SANTO ANTONIO
VILA VIÇOSA
VIMIOSO
VOUZELA
ALVITO
INSUA
PENEDONO
VELAS
CRATO
JUNCAL
SOUTO
MAÇAINHAS
FIGUEIRA DE CASTELO RODRIGO
RIO COVO SANTA EUGENIA
SALREU
FIGUEIRO (SANTIAGO)
SÃO MARCOS DA SERRA
COVILHA
MADALENA (PICO)
RIBEIRA SECA
SERTÃ
TRAFARIA
TROFA
VILA DAS CALDAS DAS TAIPAS - GUIMARÃES
ALFANDEGA DA FE
ALVAIAZERE
ANADIA
ANSIÃO
BENAVENTE
CAMINHA
CANHA
V NOVA GAIA
FAJÕES
ÍLHAVO
SANTA CATARINA - RIBEIRA DO MEIO
LOUSADA
MANGUALDE
MARCO DE CANAVESES
MARVÃO
MÉRTOLA
MIRANDA DO CORVO
MONCHIQUE
MONTALEGRE
MONTEMOR-O-NOVO
MORA
NELAS
PAÇOS DE FERREIRA
PEDROUÇOS
REBORDOSA
RESENDE
RIBEIRA DA PENA
SAO BRAZ DE ALPORTEL
SENDIM
VIDAGO
V DE REI
SÃO PEDRO / VFC
VILA NOVA DE FOZ CÔA
CADAVAL
CAMPO DE BESTEIROS
QUARTEIRA
COLMEIAS
FERREIRA DO ZÊZERE
PENICHE
ABUXARDA
LUSO
QUINTA DO CONDE
FOLGOSINHO
PERA
SERRA DAS MINAS
SANTO ANTÓNIO DAS AREIAS
LUGAR DA ESTRADA
OUTEIRO SECO
AZEITÃO
MURTEIRA
RAMALDE
VALBOM
PAIVAS - AMORA
MONFORTINHO
VALE DO PARAÍSO
VERDEMILHO
VILA BOA DE QUIRES
SÃO JOÃO DE LOUROSA
AVELÃS DE AMBOM
SÃO JORGE
RIO MAU
BOELHE
DUAS IGREJAS
FIGUEIRA PNF
GALEGOS
MIRAGAIA
RIO DE MOINHOS PNF
VILELA PDR
TRAMAGA
A DOS CUNHADOS
SOBREIRA
IDÃES
GONDIFELOS
SANTA CATARINA DA SERRA
MERUGE
SANTO ANDRÉ
TRONCO
SANTA MARIA DA FEIRA
PERELHAL
CATUJAL
SOBRAL DO MONTE AGRACO
SANTO ILDEFONSO
MONÇÃO
MONTE ABRAÃO - QUELUZ
LOMAR
SANTA MARINHA
VALPAÇOS
ESPORÕES
ALTE
PESSEGUEIRO DO VOUGA
PENALVA DE ALVA
PEDROSO
S PEDRO DE PENAFERRIM
LUGAR DE MALTA
PAÇO
SÃO PEDRO DA COVA
GÂNDARAS
BARCO
PEROSINHO
ALENQUER
SANTA CRUZ
SOBRAL DA ADIÇA
PARCHAL
SÃO MIGUEL DO MATO VZL
SAFURDÃO
CHORENTE
CREIXOMIL
REBORDAINHOS
REAL
VASCONHA
AVELÃS DO CAMINHO
VILA GARCIA
VILA DO TOURO
ARICERA
MINHOCAL
BRITELO
TÔR
MACINHATA DO VOUDA AGD
URGESES
CHÃO DA PARADA
CANIDELO
ANTA
CABANELAS
VALE DA MADEIRA
FROSSOS
BENAFIM
VILA FONCHE
BORBA DA MONTANHA
CALDE
PARADA DE PINHÃO
CAMARNEIRA
COVAS TBU
FREIXEDA DO TORRÃO
SALAMONDE
AZARUJA
PINHÃO
CABREIRA
LOURICEIRA
NESPEREIRA CNF
TAVEIRO
OLHÃO
ALCÁÇOVAS
EIRAS
ALDEIA DE PAIO PIRES
PONTA GARÇA
VALEZIM
TRAMAGAL
ALFENA
AGRAS DO NORTE
CALVARIA DE CIMA
MOLEDO CDR
PARADA DE GONTA
OLIVEIRA FRADES
SILGUEIROS
S BENTO
SOBRADO
CARTAXO
SE NOVA
VILA FACAIA
CERNACHE
CARREGOSA
LOUREIRO
SANTIAGO DE RIBA UL
BARROSELAS
ALTER DO CHÃO
FORNOS
JUNQUEIRA
FERREIRIM
PORTO DE MOS
ALBERGARIA A VELHA
CAMARA DE LOBOS
CRUZEIRO
FÃO
PONTE DE VAGOS
VALADO DOS FRADES NZR
S PAIO DE OLEIROS
GEMUNDE
VENTEIRA - AMADORA
ALTA DE LISBOA
CASEVEL
MANSORES
OURENTA
FUNDÃO
PRAIA DA VITÓRIA
ABITUREIRAS
ESTREITO DE CAMARA DE LOBOS
QUEIRIGA
BEIJÓS
VILAR
AZOIA
FERREIROS DE TENDAIS
VALINHO DE FATIMA
ROGIL
SAFARA
CEDOVIM
ESCALHÃO
ESPINHAL
CAMPO SÃO MARTINHO
MIUZELA
MILREU
PORTIMAO
ALDEIA NOVA DO CABO
SÃO ROMÃO
ALTO DOS BARREIROS
AVEIRAS DE CIMA
CERDEIRA
FREIRIA
RAMALHAL
RIBEIRA GRANDE
ABELA
ALAGOA
ALCOFRA
ALDEIA VELHA SBG
ALVITO (SÃO PEDRO) BCL
APÚLIA
AZINHEIRA DOS BARROS E S MAMEDE DO SÁDÃO
BENDADA
PEGOES VELHOS
IGREJA
ESCARIZ SÃO MARTINHO
FONTELAS
LEOMIL MOIMENTA DA BEIRA
MANIQUE DO INTENDENTE
MARINHA DAS ONDAS
MAXIAL
MELIDES - GRÂNDOLA
NINE
PANÓIAS
PENEDO GORDO
PEROSELO
PICO DA PEDRA
PRADO (SÃO MIGUEL)
POMBALINHO
QUIAIOS
RIBEIRINHA
RUNA
S BARTOLOMEU MESSINES
SANTIAGO DO CACEM
S.PEDRO DE ALVA
S MARTINHO DA CORTIÇA
SÃO MARTINHO DAS AMOREIRAS
SANTA BARBARA
SANTANA DE CAMBAS
S LUIS
SATAO
SERZEDELO
TABUA
TABUADO
TADIM
GOÃES
VALONGO DO VOUGA
VILA FRANCA DO CAMPO
VILARANDELO
VILARINHO DOS FREIRES
VITORINO DOS PIÃES
GRADIL
S PEDRO
VILA NOVA FAMALICAO
ARCENA
MARVILA
BIDOEIRA DE CIMA
MARINHA
COINA
ANGRA DO HEROÍSMO
IDANHA-A-VELHA
BAIÃO (SANTA LEOCÁDIA)
RIBEIRA DE FRÁGUAS
CEIRA
VALE DAS MÓS
SAMOUCO
SANTIAGO
TROVISCAL
OLIVAL
LAVEIRAS
MARMELEIRA
CELA
ERVIDEIRA
FEIJÓ
DUME-BRAGA
FLAMENGOS
LONGOMEL
RAMADA
FAMÕES
ALDEIA VELHA
TORTOSENDO
BUDENS
ESTÓI
SANTA BÁRBARA DE NEXE
GONDEMARIA
RORIZ
PALHAIS BRR
ILHAVO
SÃO JOÃO DO PESO
MIRATEJO
SANTIAGO DA GUARDA
CABEÇA
CORTES DO MEIO
RIO MOINHOS
POUSA
OLIVEIRA DE AZEMÉIS
CARREGUEIRA
MOZELOS
PARREIRA
PORCHES
MONTALVÃO
VILA NOVA DE MONSARROS
NADADOURO
SEGADÃES
USSEIRA
GRANJA DO ULMEIRO
CARIA
CARVIDE
ALVEGA
DOMINGUIZO
VENDAS DO RIJO - OLALHAS
PARANHOS DA BEIRA
SEVER
S TIAGO
MONTES
TAMENGOS
LIVRAMENTO
BARQUEIROS
ESPINHEIRO
FOROS DE SALVATERRA
MARINHAIS
MAIORGA
MALHADA SORDA
SANTO ESTEVÃO
SEIXAS
SERRA DE SANTO ANTÓNIO
VALE DE FIGUEIRA STR
PINHEIRO DE ÁZERE
BAIXA DA BANHEIRA
RIBEIRA DE CIMA
OUTEIRO DA CORTIÇADA
STA MARIA FEIRA
ENVENDOS
LAPA
ATALAIA DO CAMPO
BENQUERENÇAS
DEGOLADOS
ENXAMES
ORJAIS
PROENCA A VELHA
ALCAINS
SOBRAL DO CAMPO
CARVALHAL DE AROEIRA
S. FRANCISCO DA SERRA
ESCALOS DE BAIXO
PERAL
VILAR DE ANDORINHO
FUNDADA
OLEDO
VALE DO PESO
SARZEDO
CASTELEJO
SAMPAIO
OLIVIERINHA
PALMEIRA FARO
CARVALHAIS
FURADOURO
ALVOCO DAS VÁRZEAS
VALE DA AMOREIRA
GRIJO
FRAIÃO
SOUTO ABT
FIGUEIRA CASTELO RODRIGO
TAMEL SÃO VERÍSSIMO
VALDOZENDE
PAIÃO
POVOA DE SANTAREM
ORTIGA
ZIBREIRA
COIMBROES
MATAS E CERCAL
LOURIÇAL DO CAMPO
VALE DE SANTARÉM STR
MONTE ESTORIL
GOLÃES
CESAR
VILA COVA DA LIXA
PADORNELO
PARADA DO MONTE
ARÕES S ROMÃO
REGUENGO DO FETAL
DONAS
FREIXO DE ESPADA CINTA
SOUTO DA CASA
VESTIARIA
MONTE DO TRIGO
ALMALAGUÊS
SALVATERRA DE MAGOS
VIMIEIRO SCD
CACHOPO
MARTINLONGO
MOREIRA DE CONEGOS
PADERNE ABF
PÊRA
REBOREDA
SÃO JOÃO DO MONTE
SANTIAGO DE CASSURRÃES
VALE DE PRAZERES
RIBEIRA DE FRADES
ALVARES
SANTA OVAIA
MATA MOURISCA
ANÇÃ
AZAREDE
CASTANHEIRA DE PERA
CHOROSA
MEDELIM
VAQUEIROS ACT
VILAR SECO
TOURO
FACHA
PORTELA DO COUTO
COVAS VNC
FORNELOS E QUEIJADA
RIO FRIO AVV
CAMPO VLG
GRADE
STO ALEIXO DA RESTAURAÇÃO
MACINHATA DA SEIXA
SUBPORTELA
VILA CHÃ - EPS
BARBEITA
CALHEIROS
MERUFE
BOBADELA LRS
SANTA ISABEL
MAFAMUDE
AVANCA
ABOBELEIRA
CASA BRANCA
AMARELEJA
LARDOSA
ESPINHEL
BELVER
POVOA DE VARZIM
MIDÕES TBU
BOLHO
VARZIELA
ALFARELA DE JALES
CHARNECA DA CAPARICA
CORTEGACA
GALA
SOUTO DA CARPALHOSA
SANDE VILA NOVA
ALVITO DA BEIRA
ÁRVORE
PINDELO
POUTENA
S.SILVESTRE
QUEIMADELA
MONTES DA SENHORA
PRAZINS SANTA EUFÉMIA
BUFARDA
AMOR
COUTADA
MOÇARRIA
ARRANHÓ
CEPOS
FAMALICÃO
SOSA
MAR - ESPOSENDE
LAGEOSA
LOMBA
CARREIRA
CASTELÕES
TERRAS DE BOURO
COVAS
CURVOS
GOLAES
GULPILHARES
LANDIM
MÕES
NOGUEIRA
PENAMAIOR
PENCELO
POLVOREIRA
PRISCOS
RERIZ
FORNELOS
GUILHOFREI
SERAFÃO
SILVARES S MARTINHO
TABUAÇAS
MELECAS
RAPOULA DO CÔA
QUINTAS DA TORRE
POMBALINHO SRE
AGADÃO
ALFERRAREDE
CORISCADA
ARADA
BELAZAIMA DO CHÃO
BODIOSA
BRITO
BURGÃES
CAMBRA
CARNIDE
CASAL ERMIO
CASTELO MELHOR
CASTELO NOVO
CASTELO VIEGAS
CETE
MORELENA
SILVA
DURRÃES
RIBEIRÃO
ERMEZINDE
FIGUEIRO DO CAMPO
GIÃO
GUARDIZELA
ORIOLA
MARGEM
MATA DE LOBOS
OIÃ
PAÇOS DE BRANDÃO
PARAMOS
REMELHE
VILA VERDE DE FICALHO
GUISANDE
LOBAO
ASSEICEIRA RMR
ARNEIROS
SACAVÉM
SANTA CRUZ DO DOURO
SANTA MARIA DE SARDOURA
SANTO ANDRÉ DAS TOJEIRAS
SANTO ANTONIO DA CHARNECA
SANTO ESTEVAO
SÃO FÉLIX DA MARINHA
MONFORTE DA BEIRA
SÃO VICENTE DA RAIA
TOLOSA
VVLES DO RIO
VILA CÃ
PEDRA
CARRIÇO
CARVALHAL
MEIA VIA
PERABOA
S PEDRO DO RIO SECO
TOURIGO
LANHAS
PÓVOA DE RIO DE MOINHOS
MONTES ALTOS
MILHEIRÓS DE POIARES
OUCA
CANAVESES
BOLIQUEIME
VALOURA
MATELA
CARDIELOS
SÃO MAMEDE
ALDEIA DO BISPO
BOGAS DE BAIXO
CARRECO
CASEGAS
GANDRA
RIBAMAR
BAIRRO
VALHELHAS
AGUIM
OLHO MARINHO
VILA PRAIA DE ÂNCORA
TERREIRO
ANDRÃES
AREIAS DE VILAR
AVEIRAS DE BAIXO
CABRIL MTR
CAÍDE DE REI
CARVALHOSA
CIBOES
CONSTANTIM VLR
FERREIRA
GARFE PVL
MONSUL
NAVAIS
PARADA DE BOURO
PENHA GARCIA
PINHEIRO VRM
QUEIMADA AMM
REGUENGO GRANDE
RIO CALDO
CASAL DE CIMA
MAIROS
SANTA CLARA A NOVA
TENOES
SANTO ANDRE
BANHO E CARVALHOSA
SOUSELA
TURQUEL
VILA DE PUNHE
MOURE FLG
COLMEAL DA TORRE
OLDRÕES
CARRAPATAS
TRAVANCAS
CANDEDO
UCHA BCL
AGUADA DE BAIXO
RUIVÃES VRM
SANTAREM
VERMOIL
MOGOFORES
FREIXO ESPADA A CINTA
MALAGUEIRA
CERNACHE BONJARDIM
ASSAFARGE
RIBEIRA DE NISA
SANTA CATARINA DA FONTE DO BISPO
ALCARIA
BORNES DE AGUIAR
TOURENCINHO
LAGOA AÇORES
ARROTEIAS
FIÃES
SENHORA DOS CAMPOS - GAFANHA DA NAZARE
ORVALHO
ARRUDA DOS VINHOS
SOBRALINHO
AIRÃES
ALHADAS
